GENE_NAME	human	human	cow	cow	cow	marmoset	marmoset	dog	armadillo	gorilla	gorilla	musMusculus	musMusculus	musMusculus	musMusculus	musMusculus	musMusculus	musSpretus	musSpretus	musSpretus	musCaroli	musCaroli	musCaroli	musCaroli	opossum	opossum	opossum	ferret	rabbit	chimp	chimp	bonobo	bonobo	orangutan	orangutan
NFYA	3.78	2.5	7.31	6.68	10.29	21.89	9.87	3.85	2.79	8.1	6.76	6.41	9.8	8.74	5.5	5.21	1.79	4.43	2.07	2.91	3.52	2.16	3.16	3.28	2.82	5.31	6.37	19.22	6.92	5.8	4.36	5.07	4.14	5.86	4.84
IBTK	11.09	10.15	12.31	9.47	5.27	19.64	22.22	5.7	7.52	12.63	9.54	9.62	17.22	20.11	16.97	13.37	9.96	8.32	3.93	5.46	6.08	6.07	4.25	4.29	9.63	10	20.8	22.99	32.48	8.87	23.18	12.01	7.56	9.07	9.19
IFI35	17.41	16.29	19.06	31.64	24.96	30.11	71.96	30.32	6.98	22.41	28.13	25.44	25.74	30	40.95	34.95	21.22	32.75	15.62	22.08	15.93	20.75	17.81	14.93	24.53	34.2	37.07	26.49	40.86	26.28	136.99	13.27	22.3	22.39	26.46
TAL1	0.48	0.37	1.04	2.19	2.39	1.68	0.32	0.11	1.26	1.08	0.26	0.39	0.42	0.62	0.48	0.44	0.32	0.33	0.11	0.23	0.07	0.27	0.1	0.1	1.7	1.74	1.02	0.92	0.72	2.48	0.06	0.62	0.36	NA	NA
ELAVL4	0.04	0.06	0	0	0	0.05	0.15	0	0	0.07	0.03	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0.09	0.07	0.03	0.4	0.03	0.04	0.15	0	0	0.06
ZYG11B	4.48	4.35	4.63	6.05	4.36	10.21	2.56	13.4	2.88	1.79	2.46	7.76	10.02	8.77	10.67	8.14	7.66	4.56	2.65	3.77	2.87	2.55	1.57	2.83	64.84	111.41	57.86	20.01	25.92	6.03	6.17	7.01	7.7	3.44	1.44
SLC1A7	4.94	0.18	0	0	0.06	0.23	0.11	0.42	0.14	0.96	0.45	0.07	0.28	0.09	0.36	0.07	0.15	0.1	0.28	0.43	0.3	0.17	0.31	0.33	0	0	0	0	0	0.43	1.98	0.51	0.31	2.8	1.41
ACOT11	1.6	1.21	1247.91	1360.62	1121.96	1.32	0.39	0.14	0.09	1.72	1.47	2.98	2.17	6.36	0.84	3.6	0.09	1.46	1.06	0.45	5.54	5.46	7.72	6.64	2.27	2.03	1.36	0	0.18	0.19	0.27	0.62	0.32	1.77	1.34
FAM151A	16.75	21.78	0.04	0.1	0.31	2.44	2.41	0.05	0.16	0.17	0.28	0.07	0	0	0	0	0	0	0.11	0	0	0	0	0	0	0.16	0.06	0.22	0.23	0.07	0.08	0.06	0.04	0.18	0.14
HEATR6	1.92	1.67	8.89	9.45	10.45	10.74	5.73	13.95	2.65	3.37	2.11	5.02	6.5	4.82	7.56	6.38	2.42	6.38	5.44	6.73	2.9	3.4	4.63	4.32	4.36	6.52	5.56	7.48	8.04	2.21	4	2.35	3.17	6.29	5.86
PARS2	1.73	1.66	1.56	4.45	2.76	2.76	2.29	NA	NA	0.97	1.71	2.3	1.71	0.76	1.66	2.33	1.14	3.89	2.62	3.1	3.12	2.91	4.62	4.25	4.45	5.8	3.48	2.67	4.05	1.35	1.44	1.05	0.98	5.89	2.8
LEXM	0.05	0.07	0	0	0.02	3.44	3.4	0.06	0	0.24	0.09	0	0.16	0	0.04	0.01	0	0.04	0	0.27	0	0	0	0	4.64	5.66	1.45	0	0	0.22	0.36	0	0.08	0.28	0.06
BSND	0.02	0.03	0	0	0	0	0	0.03	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.58	0.6
USP24	5.48	3.88	4.35	7.11	4.81	6.05	6.47	10.41	7.84	4.13	3.94	15.59	15.93	17.53	12.6	10.51	8.2	9.67	5.96	8.53	6.95	6.79	5.42	6.05	17.65	21.19	17.21	11.8	24.13	4.39	5.31	7.59	5.4	4.07	2.43
PLPP3	47.1	31.93	39.37	54.34	47.97	66.97	39.15	33.19	44.1	41.78	30.35	56.02	45.97	78.12	76.29	76.47	41.44	49.64	53.22	52.41	48.61	63.4	71.54	74.24	61.68	71.66	15.51	78.19	246.28	61.35	31.77	49.66	22.37	35.78	23.42
NOL9	2.87	1.77	6.9	7.69	8.04	3.39	1.4	3.99	4.93	1.84	2.95	6.18	15.05	11.65	17.42	9.86	4.63	6.32	5.66	6.54	4.41	3.97	4.53	6.66	4.77	6.05	6.7	16.67	6.34	4.21	3.15	2.69	2.33	6.8	4.32
PRKAA2	0.09	0.02	4.57	4.33	3.52	0.07	0.11	4.57	0.49	0.23	0.07	10.07	13.34	17.67	14.01	8.92	9.57	5.84	4.4	4.35	3.3	3.01	2.69	3.38	8.32	29.4	21.33	4.65	41.38	0.42	0	0.58	0.6	0.4	0.15
KLHL21	12.54	4.68	3.22	2.55	15.53	5.82	3.01	10.06	11.93	4.94	5.19	61.57	28.77	24.42	24.17	27.13	9.17	6.21	4.07	7.59	9.02	4.45	12.8	8.53	4.84	7.43	1.94	10.38	11.08	17.66	18.93	3.52	3.09	3.3	1.04
SLC45A1	0.03	0.06	0	0	0.01	0.16	0.39	0.2	10.49	0.85	0.34	0.02	0	0.05	0.04	0	0.01	0.02	0	0	0	0	0	0.04	0.16	0.23	0.87	0.16	1.87	2	0.27	0.91	0.99	0.47	0.45
AK4	88.13	16.36	98.66	52.52	42.59	4.09	8.11	NA	0.72	7.44	8.99	62.01	23.45	48.22	45.1	20.94	22.48	29.9	14.45	19.14	19.38	21.94	17.88	11.65	9.42	23.31	13.55	14.75	13.18	20.47	11.24	12.92	14.2	11.74	5.24
JAK1	18.5	12.4	46.76	57.88	31.21	31.15	28.67	25.58	38.81	28.44	15	34.34	43.1	40.25	43.95	33.76	21.58	29.44	21.25	29.42	12.69	14.83	12.54	13.68	37.52	40.77	13.68	89.31	67.89	22.2	38.1	19.78	20.46	13.02	13.7
RAVER2	0.17	0.2	0.11	0.73	0.24	0.18	0.22	0.14	0	0.34	0.13	0.32	0.41	0.57	0.13	0.16	0.13	0.08	0.03	0.02	0.02	0.02	0.05	0.18	3.45	6.98	4.12	0.15	74.6	0.29	0.64	0.98	0.29	0.13	0.19
CTRC	0.29	0.21	0	0	0.32	0	0	6.45	0.3	0	0	0	0	0	0	0	0	0	0.88	0.13	0	0.33	0	0	0	0.19	0.15	4.86	0.09	0	0	0	0	0	0
LZIC	5.83	5.93	NA	NA	NA	8.29	8.87	5.2	2.71	6.48	5.96	4.01	8.18	5.33	7.86	4.44	2.48	2.97	3.91	2.8	3.8	5.24	5.41	6.33	3.98	5.74	10.81	13.27	30.59	3.92	6.78	9.64	7.36	5.06	3.49
RBP7	1.12	1.68	0	0	0	3.69	40.58	0.07	0	8.12	8.11	0.11	0	0	0.31	0.06	0.02	0	0	0	0.63	0	0.12	0	13.54	14.31	31.62	2.02	NA	5.55	8.48	5.73	7.61	0.27	0
FBLIM1	2.44	1.49	1.29	2.66	2.17	0.31	0.06	1.51	3.43	18.8	13.25	0.7	1.87	2.05	0.64	0.71	0.32	1.26	1.64	0.89	0.54	0.23	1.23	1.34	0.39	0.82	0.27	0.92	1.93	6.38	4.61	3.82	3.84	3.71	4.07
PLEKHH3	38.36	11.56	2.74	4.03	5.56	4.13	2.84	7.4	12.12	4.54	13.16	4.18	7.1	6.74	5.48	5.98	2.93	5.05	5.01	6.6	1.7	1.52	2.44	3.89	7.58	7.86	5.46	17.77	10.33	16.2	6.41	8.58	6.43	7.77	2.47
TMEM82	20.79	23.28	6.42	4.09	25.15	43.37	31.18	27.77	23.57	7.56	6.88	21.87	19.27	17.32	30.46	16.95	15.36	32.95	26.44	30.08	29.94	26.59	32.97	28.88	11.42	18.4	10.67	74.6	40.65	35.09	9.33	21.13	35.83	19.67	12.93
SLC25A34	0.83	1.41	2.82	3.25	4.01	9.73	0.68	4.25	0	2.48	3.25	4.68	3.44	4.19	3.73	4.5	1.48	3.95	2.72	3.31	6.69	4.08	8.63	8.13	11.47	11.23	4.76	14	NA	11.22	3.46	6.82	5.46	NA	NA
