qvalues	thetas	var	brownSigmas
A1BG	NA	NA	NA	NA
A1BG-AS1	NA	NA	NA	NA
A1CF	1	-0.599553545925259	0.0348164298440633	0.150846697533482
A2M	1	0.343317213857415	2.67967130477147	8.45137719659186
A2M-AS1	NA	NA	NA	NA
A2ML1	NA	NA	NA	NA
A2ML1-AS1	NA	NA	NA	NA
A2MP1	NA	NA	NA	NA
A3GALT2	1	0.39670080480274	0.14360513971613	0.531847880568795
A4GALT	0.812485055125271	0.858272499799109	0.615361363347921	3.66533136758362
A4GNT	0.812485055125271	-1.24983840286998	0.556894366092912	4.65235434807856
AAAS	1	0.728594893696317	0.0995081867908043	0.462638046472646
AACS	1	1.11341483591272	0.0103400077970404	0.0429681895448656
AACSP1	NA	NA	NA	NA
AADAC	1	-0.804812083559165	0.896735584889874	5.02570452793281
AADACL2	NA	NA	NA	NA
AADACL2-AS1	NA	NA	NA	NA
AADACL3	NA	NA	NA	NA
AADACL4	0.812485055125271	-0.923011412918417	0.00255673802655004	0.0151688821501507
AADACP1	NA	NA	NA	NA
AADAT	1	-0.461176755381331	0.234465099713684	1.18065475554984
AAED1	NA	NA	NA	NA
AAGAB	1	1.14834281680232	0.0918226511622246	0.392574203375289
AAK1	0.812485055125271	1.71672531576653	0.0289683201336996	0.178467475785427
AAMDC	0.812485055125271	1.29227952406829	0.0379750231405199	0.307936022257315
AAMP	1	1.54727147291593	0.0421194157923892	0.150629251735713
AANAT	0.812485055125271	-0.451080515751762	1.23546961013323	9.86051163468932
AAR2	0.812485055125271	1.02058426620279	0.00354413722153741	0.0235466744454444
AARD	NA	NA	NA	NA
AARS	NA	NA	NA	NA
AARS2	0.812485055125271	0.372828067131832	0.0217223800419945	0.128248572387546
AASDH	0.812485055125271	0.916612517100071	0.200134705837934	1.31835068920535
AASDHPPT	0.812485055125271	1.11152770340619	0.0589148616282599	0.468283584862548
AASS	0.812485055125271	0.382350898593265	0.670052690779353	4.03833942118143
AATBC	NA	NA	NA	NA
AATF	0.812485055125271	1.39989442169472	0.0383447665607934	0.225697849726192
AATK	0.879730882282599	-0.0147694776213299	1.53775698624865	8.76702384516211
ABALON	NA	NA	NA	NA
ABAT	1	0.604755920247596	0.215793477348049	0.925086285867906
ABCA1	0.812485055125271	1.82302989334073	0.141365674924366	0.925943404247328
ABCA10	NA	NA	NA	NA
ABCA11P	NA	NA	NA	NA
ABCA12	1	-0.0723981381348692	0.0781995194941529	0.347751973750917
